JobNumber,Customer,State,City,,,
1279644,Charter,AL,BIRMINGHAM,,,
4333721,Charter,MI,SANFORD,,,
3551666,Charter,SC,CAMPOBELLO,,,
2384512,Charter,KY,LOUISVILLE,,,
2555333,Charter,NC,ANGIER,,,
4599640,Charter,IN,GEORGETOWN,,,
4534018,Charter,TX,HURST,,,
3653838,Charter,TX,MCKINNEY,,,
4489973,Charter,NC,WEAVERVILLE,,,
4565699,Charter,NC,RURAL HALL,,,
3506079,Charter,OH,WORTHINGTON,,,
4539922,Charter,MO,KANSAS CITY,,,
4617656,Charter,NC,RICHLANDS,,,
4637392,Charter,MN,FARMINGTON,,,
3858905,Charter,TX,KYLE,,,
4574838,Charter,TX,LEWISVILLE,,,
4468739,Charter,TX,AUSTIN,,,
4524822,Charter,TX,KYLE,,,
4590945,Charter,VA,CANA,,,
4624900,Charter,TX,WACO,,,
4634127,Charter,FL,WINTER GARDEN,,,
4654668,Charter,WY,FE WARREN AFB,,,
4573439,Charter,TX,WACO,,,
4660553,Charter,MO,ARNOLD,,,
4590657,Charter,FL,BELLEVIEW,,,
4665138,Charter,CA,BAKERSFIELD,,,
4602559,Charter,TX,WEATHERFORD,,,
4619080,Charter,FL,PALM COAST,,,
4639261,Charter,NC,SELMA,,,
4624309,Charter,TX,WACO,,,
4493729,Charter,TX,SPICEWOOD,,,
4668244,Charter,OH,EATON,,,
4555685,Charter,AL,MONTGOMERY,,,
4167250,Charter,FL,ALTAMONTE SPRINGS,,,
4628528,Charter,NC,CHINQUAPIN,,,
4528965,Charter,TX,KYLE,,,
4575618,Charter,TX,MC DADE,,,
4647763,Charter,TX,TEMPLE,,,
4641759,Charter,TX,ORANGE,,,
4669417,Charter,NY,SODUS,,,
4601431,Charter,TX,FORT WORTH,,,
4670630,Charter,MO,ARNOLD,,,
4640662,Charter,FL,NEW PORT RICHEY,,,
4489286,Charter,KY,TAYLORSVILLE,,,
4528947,Charter,NY,FLUSHING,,,
4624676,Charter,NC,BEULAVILLE,,,
4613642,Charter,NC,MAGGIE VALLEY,,,
